Task 84 ⇒ Z(H)=5.000  Z(p)=-4.000
[restart] seed=84  targets: Z(H)=5.000, Z(p)=-4.000
[restart] seed=85  targets: Z(H)=5.000, Z(p)=-4.000
[restart] seed=86  targets: Z(H)=5.000, Z(p)=-4.000
[restart] seed=87  targets: Z(H)=5.000, Z(p)=-4.000
[restart] seed=88  targets: Z(H)=5.000, Z(p)=-4.000
[restart] seed=89  targets: Z(H)=5.000, Z(p)=-4.000
[restart] seed=90  targets: Z(H)=5.000, Z(p)=-4.000
[restart] seed=91  targets: Z(H)=5.000, Z(p)=-4.000
[9/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=108.2s
[9/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=108.3s
[9/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=108.3s
[9/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=108.3s
[9/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=108.4s
[9/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=108.4s
[9/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=108.5s
[9/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=109.0s
[10/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=119.3s
[10/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=119.4s
[10/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=119.5s
[10/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=119.5s
[10/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=119.6s
[10/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=119.6s
[10/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=119.7s
[10/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=120.3s
[11/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=131.4s
[11/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=131.5s
[11/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=131.6s
[11/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=131.6s
[11/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=131.6s
[11/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=131.7s
[11/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=131.7s
[11/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=132.5s
[12/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=143.4s
[12/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=143.5s
[12/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=143.7s
[12/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=143.7s
[12/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=143.7s
[12/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=143.8s
[12/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=143.8s
[12/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=144.6s
[best] seed=86  Z(H)=3.768  Z(p)=-3.204  final_cost=1.07563
