Task 57 ⇒ Z(H)=3.000  Z(p)=-3.000
[restart] seed=57  targets: Z(H)=3.000, Z(p)=-3.000
[restart] seed=58  targets: Z(H)=3.000, Z(p)=-3.000
[restart] seed=59  targets: Z(H)=3.000, Z(p)=-3.000
[restart] seed=60  targets: Z(H)=3.000, Z(p)=-3.000
[restart] seed=61  targets: Z(H)=3.000, Z(p)=-3.000
[restart] seed=62  targets: Z(H)=3.000, Z(p)=-3.000
[restart] seed=64  targets: Z(H)=3.000, Z(p)=-3.000
[restart] seed=63  targets: Z(H)=3.000, Z(p)=-3.000
[1/12] epochs complete | best_cost=0.0207153 | epoch_cost=0.0207153 | elapsed=12.1s
[1/12] epochs complete | best_cost=0.0207155 | epoch_cost=0.0207155 | elapsed=12.1s
[1/12] epochs complete | best_cost=0.0207153 | epoch_cost=0.0207153 | elapsed=12.1s
[1/12] epochs complete | best_cost=0.0207164 | epoch_cost=0.0207164 | elapsed=12.1s
[1/12] epochs complete | best_cost=0.0207155 | epoch_cost=0.0207155 | elapsed=12.1s
[1/12] epochs complete | best_cost=0.0207155 | epoch_cost=0.0207155 | elapsed=12.1s
[1/12] epochs complete | best_cost=0.0207153 | epoch_cost=0.0207153 | elapsed=12.8s
[1/12] epochs complete | best_cost=0.0207153 | epoch_cost=0.0207153 | elapsed=12.8s
[2/12] epochs complete | best_cost=0.0207153 | epoch_cost=0.0207153 | elapsed=24.1s
[2/12] epochs complete | best_cost=0.0207153 | epoch_cost=0.0207153 | elapsed=24.1s
[2/12] epochs complete | best_cost=0.0207153 | epoch_cost=0.0207153 | elapsed=24.1s
[2/12] epochs complete | best_cost=0.0207153 | epoch_cost=0.0207153 | elapsed=24.2s
[2/12] epochs complete | best_cost=0.0207153 | epoch_cost=0.0207153 | elapsed=24.2s
[2/12] epochs complete | best_cost=0.0207153 | epoch_cost=0.0207153 | elapsed=24.2s
[2/12] epochs complete | best_cost=0.0207153 | epoch_cost=0.0207153 | elapsed=25.5s
[2/12] epochs complete | best_cost=0.0207153 | epoch_cost=0.0207153 | elapsed=25.6s
