Task 156 ⇒ Z(H)=-1.000  Z(p)=-2.000
[restart] seed=156  targets: Z(H)=-1.000, Z(p)=-2.000
[restart] seed=157  targets: Z(H)=-1.000, Z(p)=-2.000
[restart] seed=158  targets: Z(H)=-1.000, Z(p)=-2.000
[restart] seed=159  targets: Z(H)=-1.000, Z(p)=-2.000
[restart] seed=160  targets: Z(H)=-1.000, Z(p)=-2.000
[restart] seed=161  targets: Z(H)=-1.000, Z(p)=-2.000
[restart] seed=162  targets: Z(H)=-1.000, Z(p)=-2.000
[restart] seed=163  targets: Z(H)=-1.000, Z(p)=-2.000
[8/12] epochs complete | best_cost=0.000230126 | epoch_cost=0.000230126 | elapsed=107.3s
[8/12] epochs complete | best_cost=0.000230127 | epoch_cost=0.000230127 | elapsed=107.6s
[8/12] epochs complete | best_cost=0.000230126 | epoch_cost=0.000230126 | elapsed=108.2s
[9/12] epochs complete | best_cost=0.000230126 | epoch_cost=0.000230126 | elapsed=119.8s
[9/12] epochs complete | best_cost=0.000230125 | epoch_cost=0.000230125 | elapsed=120.0s
[9/12] epochs complete | best_cost=0.000230164 | epoch_cost=0.000230164 | elapsed=120.1s
[9/12] epochs complete | best_cost=0.000230125 | epoch_cost=0.000230125 | elapsed=120.2s
[9/12] epochs complete | best_cost=0.000230128 | epoch_cost=0.000230128 | elapsed=120.3s
[9/12] epochs complete | best_cost=0.000230126 | epoch_cost=0.000230126 | elapsed=120.7s
[9/12] epochs complete | best_cost=0.000230127 | epoch_cost=0.000230127 | elapsed=121.1s
[9/12] epochs complete | best_cost=0.000230126 | epoch_cost=0.000230126 | elapsed=121.8s
[10/12] epochs complete | best_cost=0.000230126 | epoch_cost=0.000230126 | elapsed=133.1s
[10/12] epochs complete | best_cost=0.000230125 | epoch_cost=0.000230125 | elapsed=133.3s
[10/12] epochs complete | best_cost=0.000230164 | epoch_cost=0.000230164 | elapsed=133.5s
[10/12] epochs complete | best_cost=0.000230125 | epoch_cost=0.000230125 | elapsed=133.6s
[10/12] epochs complete | best_cost=0.000230128 | epoch_cost=0.000230128 | elapsed=133.6s
[10/12] epochs complete | best_cost=0.000230126 | epoch_cost=0.000230126 | elapsed=134.1s
[10/12] epochs complete | best_cost=0.000230126 | epoch_cost=0.000230126 | elapsed=134.6s
[10/12] epochs complete | best_cost=0.000230126 | epoch_cost=0.000230126 | elapsed=135.3s
[11/12] epochs complete | best_cost=0.000230126 | epoch_cost=0.000230126 | elapsed=146.5s
[11/12] epochs complete | best_cost=0.000230125 | epoch_cost=0.000230125 | elapsed=146.7s
[11/12] epochs complete | best_cost=0.000230126 | epoch_cost=0.000230126 | elapsed=146.8s
[11/12] epochs complete | best_cost=0.000230125 | epoch_cost=0.000230125 | elapsed=147.0s
[11/12] epochs complete | best_cost=0.000230128 | epoch_cost=0.000230128 | elapsed=147.0s
[11/12] epochs complete | best_cost=0.000230126 | epoch_cost=0.000230126 | elapsed=147.5s
[11/12] epochs complete | best_cost=0.000230126 | epoch_cost=0.000230126 | elapsed=148.1s
[11/12] epochs complete | best_cost=0.000230126 | epoch_cost=0.000230126 | elapsed=148.9s
[12/12] epochs complete | best_cost=0.000230126 | epoch_cost=0.000230126 | elapsed=159.8s
[12/12] epochs complete | best_cost=0.000230125 | epoch_cost=0.000230125 | elapsed=160.0s
[12/12] epochs complete | best_cost=0.000230126 | epoch_cost=0.000230126 | elapsed=160.1s
[12/12] epochs complete | best_cost=0.000230125 | epoch_cost=0.000230125 | elapsed=160.3s
[12/12] epochs complete | best_cost=0.000230128 | epoch_cost=0.000230128 | elapsed=160.4s
[12/12] epochs complete | best_cost=0.000230126 | epoch_cost=0.000230126 | elapsed=160.9s
[12/12] epochs complete | best_cost=0.000230126 | epoch_cost=0.000230126 | elapsed=161.5s
[12/12] epochs complete | best_cost=0.000230126 | epoch_cost=0.000230126 | elapsed=162.4s
[best] seed=157  Z(H)=-1.000  Z(p)=-2.021  final_cost=0.000230125
