Task 55 ⇒ Z(H)=2.000  Z(p)=9.000
[restart] seed=55  targets: Z(H)=2.000, Z(p)=9.000
[restart] seed=56  targets: Z(H)=2.000, Z(p)=9.000
[restart] seed=57  targets: Z(H)=2.000, Z(p)=9.000
[restart] seed=58  targets: Z(H)=2.000, Z(p)=9.000
[restart] seed=59  targets: Z(H)=2.000, Z(p)=9.000
[restart] seed=60  targets: Z(H)=2.000, Z(p)=9.000
[restart] seed=61  targets: Z(H)=2.000, Z(p)=9.000
[restart] seed=62  targets: Z(H)=2.000, Z(p)=9.000
[1/12] epochs complete | best_cost=18.9116 | epoch_cost=18.9116 | elapsed=12.0s
[1/12] epochs complete | best_cost=18.8938 | epoch_cost=18.8938 | elapsed=12.0s
[1/12] epochs complete | best_cost=18.8583 | epoch_cost=18.8583 | elapsed=12.0s
[1/12] epochs complete | best_cost=18.9619 | epoch_cost=18.9619 | elapsed=12.1s
[1/12] epochs complete | best_cost=19.0477 | epoch_cost=19.0477 | elapsed=12.1s
[1/12] epochs complete | best_cost=18.8583 | epoch_cost=18.8583 | elapsed=12.1s
[1/12] epochs complete | best_cost=19.0091 | epoch_cost=19.0091 | elapsed=12.1s
[1/12] epochs complete | best_cost=18.876 | epoch_cost=18.876 | elapsed=12.1s
[2/12] epochs complete | best_cost=18.91 | epoch_cost=18.91 | elapsed=24.0s
[2/12] epochs complete | best_cost=18.8938 | epoch_cost=18.8938 | elapsed=24.0s
[2/12] epochs complete | best_cost=18.8583 | epoch_cost=18.8583 | elapsed=24.1s
[2/12] epochs complete | best_cost=19.0131 | epoch_cost=19.0131 | elapsed=24.2s
[2/12] epochs complete | best_cost=18.8938 | epoch_cost=18.8938 | elapsed=24.2s
[2/12] epochs complete | best_cost=18.8583 | epoch_cost=18.8583 | elapsed=24.2s
[2/12] epochs complete | best_cost=18.876 | epoch_cost=18.876 | elapsed=24.2s
[2/12] epochs complete | best_cost=18.8922 | epoch_cost=18.8922 | elapsed=24.2s
[3/12] epochs complete | best_cost=18.8938 | epoch_cost=18.8938 | elapsed=36.1s
[3/12] epochs complete | best_cost=18.91 | epoch_cost=18.91 | elapsed=36.1s
[3/12] epochs complete | best_cost=18.8583 | epoch_cost=18.8583 | elapsed=36.2s
[3/12] epochs complete | best_cost=18.8583 | epoch_cost=18.8583 | elapsed=36.3s
[3/12] epochs complete | best_cost=18.8583 | epoch_cost=18.8583 | elapsed=36.3s
[3/12] epochs complete | best_cost=18.8922 | epoch_cost=18.8922 | elapsed=36.3s
[3/12] epochs complete | best_cost=18.8938 | epoch_cost=18.8938 | elapsed=36.3s
[3/12] epochs complete | best_cost=18.8583 | epoch_cost=18.8583 | elapsed=36.4s
[4/12] epochs complete | best_cost=18.8938 | epoch_cost=18.8938 | elapsed=48.1s
[4/12] epochs complete | best_cost=18.91 | epoch_cost=18.91 | elapsed=48.1s
[4/12] epochs complete | best_cost=18.8583 | epoch_cost=18.8583 | elapsed=48.1s
[4/12] epochs complete | best_cost=18.8583 | epoch_cost=18.8583 | elapsed=48.3s
[4/12] epochs complete | best_cost=18.8922 | epoch_cost=18.8922 | elapsed=48.3s
[4/12] epochs complete | best_cost=18.8938 | epoch_cost=18.8938 | elapsed=48.3s
[4/12] epochs complete | best_cost=18.8583 | epoch_cost=18.8583 | elapsed=48.4s
[4/12] epochs complete | best_cost=18.8583 | epoch_cost=18.8583 | elapsed=48.4s
