Task 78 ⇒ Z(H)=4.000  Z(p)=4.000
[restart] seed=78  targets: Z(H)=4.000, Z(p)=4.000
[restart] seed=79  targets: Z(H)=4.000, Z(p)=4.000
[restart] seed=80  targets: Z(H)=4.000, Z(p)=4.000
[restart] seed=82  targets: Z(H)=4.000, Z(p)=4.000
[restart] seed=81  targets: Z(H)=4.000, Z(p)=4.000
[restart] seed=83  targets: Z(H)=4.000, Z(p)=4.000
[restart] seed=84  targets: Z(H)=4.000, Z(p)=4.000
[restart] seed=85  targets: Z(H)=4.000, Z(p)=4.000
[1/12] epochs complete | best_cost=4.87376 | epoch_cost=4.87376 | elapsed=13.1s
[1/12] epochs complete | best_cost=4.89422 | epoch_cost=4.89422 | elapsed=13.2s
[1/12] epochs complete | best_cost=4.88278 | epoch_cost=4.88278 | elapsed=13.2s
[1/12] epochs complete | best_cost=4.87376 | epoch_cost=4.87376 | elapsed=13.2s
[1/12] epochs complete | best_cost=4.88188 | epoch_cost=4.88188 | elapsed=13.2s
[1/12] epochs complete | best_cost=4.87376 | epoch_cost=4.87376 | elapsed=13.2s
[1/12] epochs complete | best_cost=4.87286 | epoch_cost=4.87286 | elapsed=13.2s
[1/12] epochs complete | best_cost=4.87376 | epoch_cost=4.87376 | elapsed=13.3s
[2/12] epochs complete | best_cost=4.87376 | epoch_cost=4.87376 | elapsed=26.2s
[2/12] epochs complete | best_cost=4.89422 | epoch_cost=4.89422 | elapsed=26.3s
[2/12] epochs complete | best_cost=4.88278 | epoch_cost=4.88278 | elapsed=26.4s
[2/12] epochs complete | best_cost=4.87376 | epoch_cost=4.87376 | elapsed=26.4s
[2/12] epochs complete | best_cost=4.87376 | epoch_cost=4.87376 | elapsed=26.4s
[2/12] epochs complete | best_cost=4.87376 | epoch_cost=4.87376 | elapsed=26.4s
[2/12] epochs complete | best_cost=4.87286 | epoch_cost=4.87286 | elapsed=26.4s
[2/12] epochs complete | best_cost=4.87376 | epoch_cost=4.87376 | elapsed=26.5s
[3/12] epochs complete | best_cost=4.87376 | epoch_cost=4.87376 | elapsed=39.3s
[3/12] epochs complete | best_cost=4.87376 | epoch_cost=4.87376 | elapsed=39.4s
[3/12] epochs complete | best_cost=4.87376 | epoch_cost=4.87376 | elapsed=39.5s
[3/12] epochs complete | best_cost=4.87286 | epoch_cost=4.87286 | elapsed=39.5s
[3/12] epochs complete | best_cost=4.87286 | epoch_cost=4.87286 | elapsed=39.6s
[3/12] epochs complete | best_cost=4.87376 | epoch_cost=4.87376 | elapsed=39.6s
[3/12] epochs complete | best_cost=4.87286 | epoch_cost=4.87286 | elapsed=39.6s
[3/12] epochs complete | best_cost=4.87286 | epoch_cost=4.87286 | elapsed=39.7s
[4/12] epochs complete | best_cost=4.87376 | epoch_cost=4.87376 | elapsed=52.4s
[4/12] epochs complete | best_cost=4.87376 | epoch_cost=4.87376 | elapsed=52.6s
[4/12] epochs complete | best_cost=4.87286 | epoch_cost=4.87286 | elapsed=52.7s
[4/12] epochs complete | best_cost=4.87286 | epoch_cost=4.87286 | elapsed=52.7s
[4/12] epochs complete | best_cost=4.87286 | epoch_cost=4.87286 | elapsed=52.8s
[4/12] epochs complete | best_cost=4.87376 | epoch_cost=4.87376 | elapsed=52.8s
[4/12] epochs complete | best_cost=4.87286 | epoch_cost=4.87286 | elapsed=52.8s
[4/12] epochs complete | best_cost=4.87286 | epoch_cost=4.87286 | elapsed=52.9s
[5/12] epochs complete | best_cost=4.87286 | epoch_cost=4.87286 | elapsed=65.5s
[5/12] epochs complete | best_cost=4.87376 | epoch_cost=4.87376 | elapsed=65.7s
[5/12] epochs complete | best_cost=4.87286 | epoch_cost=4.87286 | elapsed=65.8s
[5/12] epochs complete | best_cost=4.87286 | epoch_cost=4.87286 | elapsed=65.9s
[5/12] epochs complete | best_cost=4.87376 | epoch_cost=4.87376 | elapsed=65.9s
[5/12] epochs complete | best_cost=4.87286 | epoch_cost=4.87286 | elapsed=65.9s
[5/12] epochs complete | best_cost=4.87286 | epoch_cost=4.87286 | elapsed=66.0s
[5/12] epochs complete | best_cost=4.87286 | epoch_cost=4.87286 | elapsed=66.2s
[6/12] epochs complete | best_cost=4.87286 | epoch_cost=4.87286 | elapsed=78.6s
