Task 27 ⇒ Z(H)=0.000  Z(p)=9.000
[restart] seed=27  targets: Z(H)=0.000, Z(p)=9.000
[restart] seed=28  targets: Z(H)=0.000, Z(p)=9.000
[restart] seed=29  targets: Z(H)=0.000, Z(p)=9.000
[restart] seed=30  targets: Z(H)=0.000, Z(p)=9.000
[restart] seed=31  targets: Z(H)=0.000, Z(p)=9.000
[restart] seed=32  targets: Z(H)=0.000, Z(p)=9.000
[restart] seed=33  targets: Z(H)=0.000, Z(p)=9.000
[restart] seed=34  targets: Z(H)=0.000, Z(p)=9.000
[1/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=12.8s
[1/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=12.9s
[1/12] epochs complete | best_cost=13.2975 | epoch_cost=13.2975 | elapsed=12.9s
[1/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=12.9s
[1/12] epochs complete | best_cost=13.2975 | epoch_cost=13.2975 | elapsed=12.9s
[1/12] epochs complete | best_cost=13.2975 | epoch_cost=13.2975 | elapsed=12.9s
[1/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=12.9s
[1/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=12.9s
[2/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=25.8s
[2/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=25.9s
[2/12] epochs complete | best_cost=13.2975 | epoch_cost=13.2975 | elapsed=25.9s
[2/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=25.9s
[2/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=25.9s
[2/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=25.9s
[2/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=25.9s
[2/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=26.0s
[3/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=38.8s
[3/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=38.9s
[3/12] epochs complete | best_cost=13.2975 | epoch_cost=13.2975 | elapsed=38.9s
[3/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=38.9s
[3/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=39.0s
[3/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=39.0s
[3/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=39.0s
[3/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=39.0s
[4/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=51.8s
[4/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=51.9s
[4/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=51.9s
[4/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=51.9s
[4/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=52.0s
[4/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=52.0s
[4/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=52.0s
[4/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=52.1s
[5/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=64.8s
[5/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=64.9s
[5/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=64.9s
[5/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=64.9s
[5/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=65.0s
[5/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=65.0s
[5/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=65.1s
[5/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=65.2s
[6/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=77.9s
[6/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=77.9s
[6/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=78.0s
[6/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=78.0s
[6/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=78.1s
[6/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=78.1s
[6/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=78.1s
[6/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=78.2s
[7/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=90.9s
[7/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=90.9s
[7/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=91.0s
[7/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=91.1s
[7/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=91.1s
[7/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=91.2s
[7/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=91.2s
[7/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=91.3s
[8/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=103.9s
[8/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=103.9s
[8/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=104.0s
[8/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=104.1s
[8/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=104.2s
[8/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=104.2s
[8/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=104.3s
[8/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=104.4s
[9/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=116.9s
[9/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=116.9s
[9/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=117.1s
[9/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=117.2s
[9/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=117.2s
[9/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=117.3s
[9/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=117.3s
[9/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=117.5s
[10/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=129.9s
[10/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=129.9s
[10/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=130.1s
[10/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=130.3s
[10/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=130.3s
[10/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=130.4s
[10/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=130.4s
[10/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=130.6s
[11/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=142.9s
[11/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=142.9s
[11/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=143.2s
[11/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=143.3s
[11/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=143.4s
[11/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=143.4s
[11/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=143.5s
[11/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=143.7s
[12/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=155.9s
[12/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=156.0s
[12/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=156.2s
[12/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=156.4s
[12/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=156.4s
[12/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=156.5s
[12/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=156.5s
[12/12] epochs complete | best_cost=13.2846 | epoch_cost=13.2846 | elapsed=156.8s
[best] seed=29  Z(H)=-2.478  Z(p)=4.480  final_cost=13.2846
