Task 6 ⇒ Z(H)=-12.000  Z(p)=2.000
[restart] seed=6  targets: Z(H)=-12.000, Z(p)=2.000
[restart] seed=7  targets: Z(H)=-12.000, Z(p)=2.000
[restart] seed=8  targets: Z(H)=-12.000, Z(p)=2.000
[restart] seed=9  targets: Z(H)=-12.000, Z(p)=2.000
[restart] seed=10  targets: Z(H)=-12.000, Z(p)=2.000
[restart] seed=11  targets: Z(H)=-12.000, Z(p)=2.000
[restart] seed=12  targets: Z(H)=-12.000, Z(p)=2.000
[restart] seed=13  targets: Z(H)=-12.000, Z(p)=2.000
[9/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=119.8s
[9/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=120.4s
[9/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=120.9s
[9/12] epochs complete | best_cost=9.32724 | epoch_cost=9.32724 | elapsed=120.9s
[9/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=120.9s
[9/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=121.0s
[9/12] epochs complete | best_cost=9.32724 | epoch_cost=9.32724 | elapsed=121.1s
[9/12] epochs complete | best_cost=9.32724 | epoch_cost=9.32724 | elapsed=121.2s
[10/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=133.1s
[10/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=133.8s
[10/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=134.4s
[10/12] epochs complete | best_cost=9.32724 | epoch_cost=9.32724 | elapsed=134.4s
[10/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=134.4s
[10/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=134.4s
[10/12] epochs complete | best_cost=9.32724 | epoch_cost=9.32724 | elapsed=134.5s
[10/12] epochs complete | best_cost=9.32724 | epoch_cost=9.32724 | elapsed=134.7s
[11/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=146.4s
[11/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=147.2s
[11/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=147.8s
[11/12] epochs complete | best_cost=9.32724 | epoch_cost=9.32724 | elapsed=147.9s
[11/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=147.9s
[11/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=147.9s
[11/12] epochs complete | best_cost=9.32724 | epoch_cost=9.32724 | elapsed=148.0s
[11/12] epochs complete | best_cost=9.32724 | epoch_cost=9.32724 | elapsed=148.1s
[12/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=159.6s
[12/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=160.4s
[12/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=160.9s
[12/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=161.0s
[12/12] epochs complete | best_cost=9.32724 | epoch_cost=9.32724 | elapsed=161.0s
[12/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=161.0s
[12/12] epochs complete | best_cost=9.32724 | epoch_cost=9.32724 | elapsed=161.1s
[12/12] epochs complete | best_cost=9.32724 | epoch_cost=9.32724 | elapsed=161.3s
[best] seed=11  Z(H)=-8.464  Z(p)=4.480  final_cost=9.32724
