Task 0 ⇒ Z(H)=-1.000  Z(p)=-4.000
[restart] seed=0  targets: Z(H)=-1.000, Z(p)=-4.000
[restart] seed=1  targets: Z(H)=-1.000, Z(p)=-4.000
[restart] seed=2  targets: Z(H)=-1.000, Z(p)=-4.000
[restart] seed=3  targets: Z(H)=-1.000, Z(p)=-4.000
[restart] seed=4  targets: Z(H)=-1.000, Z(p)=-4.000
[restart] seed=5  targets: Z(H)=-1.000, Z(p)=-4.000
[restart] seed=6  targets: Z(H)=-1.000, Z(p)=-4.000
[restart] seed=7  targets: Z(H)=-1.000, Z(p)=-4.000
[1/12] epochs complete | best_cost=0.317171 | epoch_cost=0.317171 | elapsed=13.3s
[1/12] epochs complete | best_cost=0.317207 | epoch_cost=0.317207 | elapsed=13.3s
[1/12] epochs complete | best_cost=0.317194 | epoch_cost=0.317194 | elapsed=13.3s
[1/12] epochs complete | best_cost=0.317192 | epoch_cost=0.317192 | elapsed=13.4s
[1/12] epochs complete | best_cost=0.317171 | epoch_cost=0.317171 | elapsed=13.4s
[1/12] epochs complete | best_cost=0.317192 | epoch_cost=0.317192 | elapsed=13.4s
[1/12] epochs complete | best_cost=0.3172 | epoch_cost=0.3172 | elapsed=13.6s
[1/12] epochs complete | best_cost=0.3172 | epoch_cost=0.3172 | elapsed=13.6s
[2/12] epochs complete | best_cost=0.317171 | epoch_cost=0.317171 | elapsed=26.5s
[2/12] epochs complete | best_cost=0.317172 | epoch_cost=0.317172 | elapsed=26.6s
[2/12] epochs complete | best_cost=0.317192 | epoch_cost=0.317192 | elapsed=26.7s
[2/12] epochs complete | best_cost=0.317171 | epoch_cost=0.317171 | elapsed=26.7s
[2/12] epochs complete | best_cost=0.31717 | epoch_cost=0.31717 | elapsed=26.7s
[2/12] epochs complete | best_cost=0.317171 | epoch_cost=0.317171 | elapsed=26.7s
[2/12] epochs complete | best_cost=0.3172 | epoch_cost=0.3172 | elapsed=27.1s
[2/12] epochs complete | best_cost=0.31717 | epoch_cost=0.31717 | elapsed=27.1s
[3/12] epochs complete | best_cost=0.317171 | epoch_cost=0.317171 | elapsed=39.8s
[3/12] epochs complete | best_cost=0.317172 | epoch_cost=0.317172 | elapsed=39.8s
[3/12] epochs complete | best_cost=0.317192 | epoch_cost=0.317192 | elapsed=40.0s
[3/12] epochs complete | best_cost=0.317171 | epoch_cost=0.317171 | elapsed=40.0s
[3/12] epochs complete | best_cost=0.31717 | epoch_cost=0.31717 | elapsed=40.0s
[3/12] epochs complete | best_cost=0.317171 | epoch_cost=0.317171 | elapsed=40.0s
[3/12] epochs complete | best_cost=0.317192 | epoch_cost=0.317192 | elapsed=40.6s
